Minisector,VER,NOR,Fastest
0,258.03360541239806,264.980157566377,NOR
1,142.81434521857452,133.74843026892114,VER
2,267.23931426359115,270.35122520674497,NOR
3,309.5471247167947,316.01800403666164,NOR
4,308.93986303070574,315.65302576203175,NOR
5,316.4362698677954,327.5731085274622,NOR
6,320.40943751991114,333.2847655012121,NOR
7,315.25015123793946,339.62208315944133,NOR
8,200.12117152163347,198.72070451595656,VER
9,203.83725697655584,201.69726956867328,VER
10,182.15068124935857,178.63951334300089,VER
11,179.9828601284034,172.79358332132892,VER
12,256.94816409274733,260.27457661063903,NOR
13,276.1770801323232,279.4808804138146,NOR
14,284.7842705773754,287.97653572613126,NOR
15,270.6744672741895,274.5457460938272,NOR
16,185.611725059839,177.88523425346332,VER
17,195.9304409401905,200.43709335808612,NOR
18,247.97801415749322,249.86470007119303,NOR
19,289.1390577196372,292.26145756025835,NOR
20,308.9846604181242,313.2923340794876,NOR
21,314.50964284675325,319.91400879836516,NOR
22,309.11239733434064,317.05458805229597,NOR
23,252.50604064287745,249.26982839842145,VER
24,121.10290275421488,119.52529951193611,VER
25,231.3875,235.86666666666667,NOR
