Minisector,NOR,PER,Fastest
0,325.9578537876946,322.5801625997114,NOR
1,334.5781973586472,332.0064993443495,NOR
2,338.1851417150113,326.7301013788272,NOR
3,195.12510126690057,207.41273448643457,PER
4,131.8287081748818,127.76016433400348,NOR
5,267.50074008683845,266.8048262258907,NOR
6,300.5990941473809,301.0262431403727,PER
7,317.7474267574269,315.35976558,NOR
8,281.145386344127,280.1185925875868,NOR
9,146.98737126728892,146.84123999273837,NOR
10,229.08348523902643,221.39439072609136,NOR
11,234.78333921168314,220.52662903090908,NOR
12,209.0828739703266,201.93322989047618,NOR
13,273.0878974566397,268.33466752,NOR
14,308.33527398299054,306.24311390007324,NOR
15,325.2659672875863,320.24120010746867,NOR
16,269.6460819994111,285.32169173333335,PER
17,223.24730491199597,208.26986137536946,NOR
18,282.1400654118518,274.13417321360544,NOR
19,312.9223168263045,308.53744552701755,NOR
20,326.17598102405105,321.0303333333333,NOR
21,315.6141597790476,311.36839966782117,NOR
22,215.26225605446493,211.07141945142857,NOR
23,271.38212206279945,259.8158467589257,NOR
24,310.1132922467219,301.0475758580451,NOR
25,,314.7717860571429,PER
