Minisector,LEC,SAI,Fastest
0,292.5442163636124,301.3857355842386,SAI
1,298.0889365715343,291.780215980599,LEC
2,162.69078384354734,152.8294882208764,LEC
3,228.7546132125087,233.59693007719298,SAI
4,279.05564914918085,286.5847115914877,SAI
5,296.76982428632317,311.7013837819168,SAI
6,301.4227902352217,322.8454094772688,SAI
7,160.44243280763257,127.1737784193075,LEC
8,139.24708002465007,165.33689468974748,SAI
9,254.7295104753124,266.9470863658599,SAI
10,287.6587610382837,303.9300577770635,SAI
11,297.47136819345155,306.0384014851427,SAI
12,146.0535286149709,133.47903638540618,LEC
13,198.2012457498913,215.99376839820488,SAI
14,261.22741967284213,248.70085405791366,LEC
15,203.59981089553804,192.074806953057,LEC
16,227.32599785569613,228.12869716847408,SAI
17,214.98188166153096,212.79120942271177,LEC
18,247.57799286184138,254.19488376440435,SAI
19,279.9825142190376,279.32799689620305,LEC
20,296.48388895492064,284.0,LEC
21,261.52117332597726,251.2032334568617,LEC
22,227.14937961731727,212.17726335072462,LEC
23,205.0517521907565,222.26134931453345,SAI
24,267.64491265392087,267.8242272892024,SAI
