Minisector,OCO,PIA,Fastest
0,305.78836298410437,252.34279182467336,OCO
1,189.7441202236553,122.03792542103005,OCO
2,113.21109201106499,131.87854784251138,PIA
3,198.50459162698414,220.12183935095382,PIA
4,255.89040554426504,269.14020971636364,PIA
5,282.87232665627704,292.2144303894619,PIA
6,298.3542602722078,303.8605246957143,PIA
7,243.08360703003626,174.4799052935509,OCO
8,141.7751215030303,163.54706283217126,PIA
9,224.43678790095237,245.90852875571434,PIA
10,267.8947028761905,276.86029552571426,PIA
11,234.71226546424242,207.5631640972433,OCO
12,175.31591434321268,176.36161151117201,PIA
13,108.5513973935951,92.40115002882249,OCO
14,105.56212576634027,117.45095183779338,PIA
15,149.6819592817316,108.95353413653439,OCO
16,105.41269984675415,150.86480193042337,PIA
17,205.18502533614267,215.75626589459486,PIA
18,154.89898414337662,130.8380185243024,OCO
19,147.15591029154584,186.02666555850556,PIA
20,237.73581776962405,255.31710874828283,PIA
21,270.3721640616785,280.0043759398257,PIA
22,289.7061454567003,297.73661295630956,PIA
23,299.6634069328254,305.80123255134197,PIA
24,304.37041971536956,310.39554392592595,PIA
