Minisector,LEC,HAD,Fastest
0,276.99634252506513,280.42188096628036,HAD
1,285.08151501284846,287.62189117254525,HAD
2,269.7971676823147,273.3648128051098,HAD
3,177.35005489768838,175.85185250524708,LEC
4,115.82489398728136,116.1198155366723,HAD
5,245.72470520353247,243.08815321356963,LEC
6,298.22889610419196,285.2991605042424,LEC
7,309.6603219690816,291.8989922873252,LEC
8,171.71236276437773,175.80023461869487,HAD
9,136.77714896427383,138.80106169704024,HAD
10,248.93455670457394,255.90482308313358,HAD
11,283.83058954118746,291.962250112,HAD
12,288.85932533038743,293.1491540095408,HAD
13,275.4594550739927,266.96987085371427,LEC
14,287.86121281626913,281.26757142857144,LEC
15,279.6569723926833,276.43307166333966,LEC
16,243.69662638134383,246.96794871794873,HAD
17,219.00511668215182,218.6612547448889,LEC
18,285.00882364275134,274.29189033189033,LEC
19,309.4372223573333,297.2082918327019,LEC
20,306.0085381721553,298.0079365079365,LEC
21,225.89277037641725,232.94656505469388,HAD
22,235.07223021824822,237.19972789597796,HAD
23,134.76579288699762,134.20392606121962,LEC
24,206.93835505913123,201.81328826188798,LEC
25,,258.92777955555556,HAD
