Minisector,HAM,ALO,Fastest
0,229.64199085243456,230.25682617510978,ALO
1,283.10231314365245,280.915880832,HAM
2,297.87866670933334,293.47743026666666,HAM
3,304.58596643963284,297.6470547667537,HAM
4,271.6456239341817,263.5831563941582,HAM
5,165.26972466362332,163.7467311246697,HAM
6,260.26106306206896,257.3901802622111,HAM
7,272.30464742564106,276.9709876148148,ALO
8,214.31591415717,213.67790678250935,HAM
9,219.11568832403523,216.90694357979797,HAM
10,186.1044411785899,180.4646032744734,HAM
11,219.10643988686869,220.4595939872876,ALO
12,207.52940678098523,199.16576634234235,HAM
13,216.8894718052798,210.3164989840825,HAM
14,219.0596272881966,213.50966721385282,HAM
15,183.5554973305098,181.07945319836526,HAM
16,245.45367337398474,245.80412088285286,ALO
17,284.61950057319115,283.01519021104764,HAM
18,295.6530000213333,293.8820759492921,HAM
19,282.71269095009524,281.9308214574956,HAM
20,131.9601068827514,132.32015645914228,ALO
21,162.78358778671202,156.5374440703773,HAM
22,150.62896800087856,151.1023152254114,ALO
23,211.56456618139524,198.70697442141454,HAM
24,143.87127023996123,146.299364503518,ALO
25,178.93332906666666,,HAM
