Minisector,LEC,TSU,Fastest
0,295.0913591272178,295.2670384952381,TSU
1,164.25554570923754,168.3475586588558,TSU
2,183.95038606772488,181.77508179098314,LEC
3,258.5700632868623,255.8535857932919,LEC
4,286.2332376973471,286.18904177132106,LEC
5,263.2430101414141,259.02640602317257,LEC
6,235.14401656170645,232.50161218486662,LEC
7,152.4485585793575,149.80009920870907,LEC
8,227.4196825221171,225.6285988332558,LEC
9,280.7084605375163,281.1016476888644,TSU
10,299.9570286595969,301.28582984473303,TSU
11,310.1395899870079,312.0976503073291,TSU
12,316.7732215008772,315.80893646019047,LEC
13,313.7780215856242,315.8385805273183,TSU
14,135.2697279424785,125.6223850126068,LEC
15,115.02256285686082,119.9293927131974,TSU
16,103.26043071573388,105.24611470776574,TSU
17,233.94569256267113,233.54285661398032,LEC
18,284.49601809831614,281.8784741673357,LEC
19,304.48878060344396,301.9036486165785,LEC
20,315.19583510933336,311.80529697692214,LEC
21,314.9091025932524,312.293142,LEC
22,124.30612101152833,110.11401350349237,LEC
23,208.285576336,215.46769256366488,TSU
24,272.7105631453974,274.33437639950307,TSU
