Minisector,RIC,ALO,Fastest
0,284.11583521737214,295.8994227191043,ALO
1,288.41541498311113,298.3514663736381,ALO
2,157.2134997095164,155.3504208434062,RIC
3,220.65885996576898,222.29586161668135,ALO
4,269.30313464701754,279.00680290786136,ALO
5,289.5833957131628,305.7836338474088,ALO
6,295.32501591425427,309.01234482171003,ALO
7,176.08788657827662,175.22547222113377,RIC
8,125.68346538089979,123.48839961709785,RIC
9,244.31832246886552,245.00571951259462,ALO
10,281.4014511204859,279.8811582168451,RIC
11,293.56580823703706,289.179414615873,RIC
12,139.9530171346531,155.58145623180442,ALO
13,187.1789307998753,191.6255825731278,ALO
14,254.7122013637385,249.46026435214685,RIC
15,197.52582928699627,205.75095931234026,ALO
16,222.790763847706,217.9389071884656,RIC
17,201.6929205294686,210.72336710424983,ALO
18,237.6796350555066,241.90242328067228,ALO
19,273.6309972376689,272.16605220428573,RIC
20,290.4656779649673,285.0191351193277,RIC
21,253.51459596926986,262.8965012449488,ALO
22,215.91960724768953,225.28072639274376,ALO
23,196.11147369227083,207.39469885384324,ALO
24,257.7208712827626,261.33054253386155,ALO
25,276.2,,RIC
