Minisector,NOR,PER,Fastest
0,214.94335644203238,103.08065355483637,NOR
1,204.10925237578283,166.78583571646146,NOR
2,269.95523712761906,128.11837684474642,NOR
3,306.0117205699681,197.30636182740557,NOR
4,317.78613405938376,199.58798038013413,NOR
5,167.59099599139785,127.26624276708358,NOR
6,201.56146037409565,206.7201388888889,PER
7,274.1734638035088,250.28286183135052,NOR
8,304.61831586094144,219.39417977052688,NOR
9,317.3867426764149,123.00862795360949,NOR
10,247.83826007272728,132.16998495667417,NOR
11,101.70731950765398,98.77122760892173,NOR
12,225.22448378181818,175.13917517298972,NOR
13,282.1731639038082,193.31289409810816,NOR
14,306.58105701288514,211.15275098091126,NOR
15,218.32517153226038,93.17361291957687,NOR
16,131.2755800189246,112.55196344271954,NOR
17,238.18224071111112,,NOR
18,236.27973532121212,,NOR
19,180.7938289320635,,NOR
20,220.80067828489322,,NOR
21,219.95490981587304,,NOR
22,262.682488884663,,NOR
23,287.44171526083437,,NOR
24,294.20046394074075,,NOR
