Minisector,RUS,PIA,Fastest
0,279.18518620506427,275.5907468578081,RUS
1,114.17829033907013,123.82362481316156,PIA
2,165.97271253743162,164.69578261885886,RUS
3,216.6287840441457,219.85018275250795,PIA
4,158.2537033425226,162.07103437905585,PIA
5,241.0041256098399,239.53543438545455,RUS
6,206.71233395129812,208.3782248185348,PIA
7,135.10539098263527,127.51850286243273,RUS
8,235.6408938736804,227.10759206442896,RUS
9,277.0856944444444,274.64533487686276,RUS
10,286.4384694637004,287.63717812885153,PIA
11,153.26847152444444,152.91854983183035,RUS
12,226.11146392352487,218.68458190171427,RUS
13,273.1077596689386,271.96675099863944,RUS
14,273.5190367965368,272.6707432785714,RUS
15,101.5567689348067,101.45136106036342,RUS
16,211.9377724289855,214.4174644896736,PIA
17,267.98350932274485,267.9082524564628,RUS
18,304.49978524743227,289.7079207,RUS
19,317.3147544347016,299.71381200438174,RUS
20,325.5117593244444,304.4231639988148,RUS
21,282.99157894736845,289.023938382684,PIA
22,149.23697501976955,140.29224815701997,RUS
23,238.34186792372654,217.10068347972788,RUS
24,280.4295399669304,270.4429078188973,RUS
25,283.95000319999997,287.22624992,PIA
