Minisector,HAM,ALO,Fastest
0,274.62984549511987,268.82857122539684,HAM
1,301.26111045925927,292.3141217311016,HAM
2,315.3561136769882,304.85177049957235,HAM
3,324.2101647540916,312.11778711484595,HAM
4,328.8859374,316.96593129411764,HAM
5,327.8133186761905,321.8611717843864,HAM
6,224.93686078562274,208.10224370402932,HAM
7,108.54810805818931,107.79156720881788,HAM
8,185.5316497212003,189.0408931189741,ALO
9,262.2032444937445,261.8301245240631,HAM
10,290.44462936533085,290.40578696296296,HAM
11,173.46611223333332,165.2072486231552,HAM
12,98.91118687392373,99.61331375672046,ALO
13,117.29567166352726,117.98979024422286,ALO
14,223.7891314716856,221.83543881310433,HAM
15,192.52342198510925,191.69120331851852,HAM
16,230.33949273043478,227.76786843182003,HAM
17,189.04958791858022,183.9379459809524,HAM
18,235.94546954202897,237.94030184844925,ALO
19,279.1670525474499,277.8053019875443,HAM
20,254.27287813459762,249.21436869956707,HAM
21,149.51012021520725,145.44584624166887,HAM
22,97.26419188019199,96.76428576623981,HAM
23,127.57875868991447,125.62389468081844,HAM
24,227.41025190994242,225.79409715555553,HAM
25,258.26666666666665,,HAM
