Minisector,HAM,LAW,Fastest
0,298.37089667540783,292.5314880850069,HAM
1,306.3542823407408,299.3582954181818,HAM
2,242.37439470419014,236.21486784288405,HAM
3,121.10864917267364,116.94176374169909,HAM
4,136.9792549591702,138.11419688645245,LAW
5,253.99942829555553,257.247262348902,LAW
6,259.8513645906418,252.23140068848485,HAM
7,127.162609117771,128.19368479735695,LAW
8,241.0930678168116,243.92309787760684,LAW
9,248.65297930433863,243.5229328082051,HAM
10,212.84072773931467,200.11679132570234,HAM
11,141.7055988630088,142.09525910383525,LAW
12,202.45767644,211.23973670452673,LAW
13,256.78743688971196,254.07528017493735,HAM
14,115.74179309492031,117.06627987488102,LAW
15,185.01598895981112,184.78201249116256,HAM
16,264.82394577535354,264.1950646866818,HAM
17,305.9788617529514,308.70502727662324,LAW
18,318.22731240319615,322.4620643244475,LAW
19,311.2785498263036,321.01458346666664,LAW
20,305.8382517734336,311.4958465378806,LAW
21,168.34784298876053,154.04622448478406,HAM
22,139.46078605823732,152.9437987189849,LAW
23,188.9021805857611,183.7024435692953,HAM
24,238.8470909183418,253.01731218632037,LAW
25,281.7,,HAM
