Minisector,OCO,MAG,Fastest
0,273.82252258250116,276.9647105679467,MAG
1,294.725626710492,299.71927909028165,MAG
2,286.6813761616162,292.4971560804233,MAG
3,167.82211201215273,172.94493301889386,MAG
4,114.01979299140929,111.90174031681676,OCO
5,235.68430816774514,235.45972421899867,OCO
6,282.12078451630055,289.6906347226171,MAG
7,291.21306763636363,305.81979098666665,MAG
8,165.03310051379492,159.2795010123683,OCO
9,133.75497465490588,132.13107676779057,OCO
10,248.94660372348335,248.92660253132271,OCO
11,285.61686910020046,286.9283066960479,MAG
12,292.02129670877355,295.7375847057107,MAG
13,268.2049595125599,264.7671833551378,OCO
14,296.4983305906914,293.37854454603416,OCO
15,299.20025446982754,300.26939566646837,MAG
16,237.70141947009654,227.6127010625421,OCO
17,214.0773172556122,212.02121294914826,OCO
18,276.6057610554894,281.3024926829815,MAG
19,303.0549123568451,311.7516855499201,MAG
20,307.69276791033394,321.45346965407583,MAG
21,214.99237421543458,216.4392411263361,MAG
22,249.98132150191574,255.46838727096926,MAG
23,132.43603486362883,129.70155840712528,OCO
24,208.294943405032,207.75961417780275,OCO
25,253.3624992,,OCO
