Minisector,VER,BOT,Fastest
0,273.947953344708,287.22437183673924,BOT
1,291.019815470183,311.59523784873954,BOT
2,293.6747806877193,307.8239018105263,BOT
3,130.62045619950626,125.2806927279,VER
4,208.45948949976955,213.7700951321644,BOT
5,256.27893631126193,258.4537790035378,BOT
6,145.8979971920672,145.15372516153235,VER
7,215.34868005788624,220.45746533333332,BOT
8,262.5533220450241,265.70319993969764,BOT
9,278.42562358276643,281.5808996423532,BOT
10,238.25543756516055,230.21927102222222,VER
11,180.64208451136304,185.00427640403717,BOT
12,206.48581318914748,213.34846170706066,BOT
13,147.94946427069982,144.09594310253166,VER
14,182.90410776231607,190.65443341226987,BOT
15,170.6451434446747,177.5788576027345,BOT
16,226.60509500621032,235.38421064972576,BOT
17,235.0408841071217,246.9408724063492,BOT
18,247.78403716017317,253.99287254221818,BOT
19,234.25598787515085,210.50108204227374,VER
20,149.52346903368402,161.491582529881,BOT
21,135.11526342975137,127.76384209843302,VER
22,181.03250778870495,186.079806965222,BOT
23,156.53789693555404,165.90681817373738,BOT
24,237.8038646148185,241.63604096,BOT
