Minisector,RAI,VER,Fastest
0,298.97537429036544,283.4477460723824,RAI
1,251.5673828038095,256.82925114173327,VER
2,271.2811126542837,271.02640222399566,RAI
3,297.0690674611527,285.7578431372549,RAI
4,132.62440005553606,139.4517541001611,VER
5,215.6645132292957,206.94217007732982,RAI
6,273.0342389210576,263.815685731926,RAI
7,292.78068864702425,284.9750179998168,RAI
8,301.5750637720277,293.08243323999,RAI
9,304.7836697872114,296.28929170296317,RAI
10,287.7360290365669,289.43402962962966,VER
11,104.20132185326486,104.13282297703887,RAI
12,229.4832770174049,218.2385174549834,RAI
13,278.1553240822032,270.3466673497014,RAI
14,269.8156450354924,278.3650136455301,VER
15,130.99331699214576,135.837970318191,VER
16,211.87995809431578,210.8634017273048,RAI
17,262.6019505354497,257.4516876318125,RAI
18,245.88187519029208,265.61022236508546,VER
19,242.5552422263716,251.76253635676318,VER
20,150.87442057067398,159.44720474965374,VER
21,194.51851184900954,186.84382353155726,RAI
22,179.11247369766247,187.96479017219082,VER
23,195.2077342527624,195.91964457144172,VER
24,257.44605500841095,249.34104138666666,RAI
25,,273.3857152,VER
