Minisector,RUS,ALO,Fastest
0,317.4884799340606,319.47064567617963,ALO
1,323.44306045238096,322.8364601234286,RUS
2,164.02609091444225,181.5941408181406,ALO
3,151.7037485180952,147.78999402764978,RUS
4,200.87781706759057,204.54653540700602,ALO
5,150.76395642971428,146.3089205780494,RUS
6,201.11267230911568,192.19842777875124,RUS
7,272.5120345537255,263.24818906890755,RUS
8,291.76935216592597,284.5064890971429,RUS
9,280.29668304190477,277.18258975108387,RUS
10,229.5178835817143,231.35251321263158,ALO
11,232.46079496821082,233.82344937172542,ALO
12,216.11213653024154,216.14097674220213,ALO
13,177.12009993900836,193.17611653978022,ALO
14,133.37929741629628,136.4395368309627,ALO
15,132.74198361374636,136.2864113812077,ALO
16,192.92023347889307,164.55507535336406,RUS
17,268.15089172952383,248.08750866636933,RUS
18,191.98201449426128,266.2999999288889,ALO
19,112.20025302432676,122.37424340294135,ALO
20,202.71545651864733,163.24832422603177,RUS
21,186.66914149436624,188.25952338306067,ALO
22,245.19914958909808,200.53166818666665,RUS
23,275.4261378677618,261.2935803511461,RUS
24,303.37015721333336,290.4129076331381,RUS
25,313.51428571428573,305.1988337066667,RUS
