Minisector,NOR,OCO,Fastest
0,256.03457710930945,257.09007261176424,OCO
1,203.95276359033195,205.868289015873,OCO
2,221.36483497748696,216.5300845596457,NOR
3,262.5216047407407,254.48505438256356,NOR
4,276.5342076201141,273.66000041813334,NOR
5,223.64248590548726,218.1491584251768,NOR
6,94.65263339492903,94.00908797981867,NOR
7,187.4397840949748,181.5942838270026,NOR
8,269.16189379608977,267.9126049423616,NOR
9,289.27211462611257,290.8970488,OCO
10,295.9154659957857,300.1189353438228,OCO
11,292.4420298086957,300.28387626666665,OCO
12,113.46299627509994,110.76177790991935,NOR
13,217.72877046088945,212.95688739714836,NOR
14,275.48166598095236,275.1274043076923,NOR
15,293.3522568888889,297.37027611775653,OCO
16,225.43078296774195,223.82217520860215,NOR
17,121.71601859236225,121.23144620554226,NOR
18,150.83685121473073,151.4192916369698,OCO
19,252.74525951322752,252.9439107106227,OCO
20,155.6751002472319,161.89836945939393,OCO
21,130.6604046971309,127.06273123473085,NOR
22,206.78953851817414,196.1638847041776,NOR
23,207.86365362922493,203.05288885102453,NOR
24,165.61595088737073,163.763000540697,NOR
25,229.88333226666666,228.93749866666667,NOR
