Minisector,HUL,PER,Fastest
0,258.90984842256256,248.27018423807434,HUL
1,295.01342259809525,280.0900508444444,HUL
2,162.80986946831015,165.41127123566346,PER
3,171.18014782745098,167.7844040838095,HUL
4,262.40258865094154,260.2394515032205,HUL
5,269.4375001212121,263.0539116698413,HUL
6,218.08344430944072,213.01449941319052,HUL
7,193.4238193422222,194.86076957978548,PER
8,151.82967530683882,151.72379799622962,HUL
9,225.73553847980108,222.02654249876542,HUL
10,278.9156465052154,273.5026074340136,HUL
11,119.45608592873592,122.55601229441466,PER
12,226.36958511040197,221.13079459886026,HUL
13,284.73254003809524,273.75114160482616,HUL
14,312.27347933121695,293.0716373333333,HUL
15,319.89770837333333,299.07395927157575,HUL
16,218.22696042295834,207.97416433677057,HUL
17,137.50876340787175,133.4819571752322,HUL
18,140.42001936993532,136.21119665292468,HUL
19,123.7123438962147,122.92340716917352,HUL
20,227.68563090598292,226.13119039390477,HUL
21,254.09484476577333,252.62256924444443,HUL
22,230.5437063828411,223.0557693948718,HUL
23,216.063090792129,203.64066171671723,HUL
24,146.32023001600433,145.65871978014889,HUL
