Minisector,NOR,TSU,Fastest
0,297.57046151898345,298.5376438151378,TSU
1,222.39690479714938,211.51208659944376,NOR
2,232.36437700266666,229.62388776644883,NOR
3,276.70591447377365,275.14723690314344,NOR
4,253.31532172240267,234.87677264218607,NOR
5,131.061067129403,127.77557610813403,NOR
6,209.31151927488557,213.10434458295785,TSU
7,265.3383879205442,260.26029835438015,NOR
8,255.1129116147131,243.63624986434783,NOR
9,241.19114790464272,239.9108595958492,NOR
10,278.0179683213382,275.76176729285754,NOR
11,294.30936717381513,294.3062003221109,NOR
12,305.3375055158277,304.14115233444653,NOR
13,309.970916008283,307.6306818181818,NOR
14,310.02083352470584,308.44686294441556,NOR
15,271.03090911883544,256.94463916489025,NOR
16,253.37153710309633,241.29086660208617,NOR
17,282.5122698710204,280.3165667784127,NOR
18,294.9576184693498,293.6736169982829,NOR
19,164.73799660025912,167.19385673809222,TSU
20,210.50666255782312,209.68713409289376,NOR
21,185.81345197876826,182.57696846531303,NOR
22,138.73608129127027,141.712678028137,TSU
23,243.87064628520235,241.55728011809524,NOR
24,284.6832328488493,283.65697573382806,NOR
25,,295.0181818181818,TSU
