Minisector,NOR,STR,Fastest
0,287.1588544,306.99765383822313,STR
1,293.7946198603341,323.4341270857143,STR
2,278.6715267555556,290.8057979494824,STR
3,113.71566823148886,110.05721310657005,NOR
4,223.42107927407358,223.1573588141892,NOR
5,274.4744219926114,272.6856664746667,NOR
6,227.17730402264607,211.132242742357,NOR
7,159.48839747471297,162.30546066616262,STR
8,215.21466104825902,205.99496262494065,NOR
9,225.20632224367816,220.24363580183228,NOR
10,121.07251434368874,119.52701887526467,NOR
11,230.0786674499376,226.58335984899148,NOR
12,126.33872175693166,123.03703470118174,NOR
13,222.42571931954024,226.4336109511111,STR
14,277.8570722806277,275.63310705871606,NOR
15,228.58999886222222,206.90974426213106,NOR
16,187.92338442308463,194.52321852344016,STR
17,243.87469103633157,246.42127083185727,STR
18,208.6702961795491,197.313468334866,NOR
19,175.81927093664538,184.0854771863202,STR
20,262.77578980845425,263.7454632997492,STR
21,283.78271206294,279.45709114037265,NOR
22,182.39960086693455,175.97663695041848,NOR
23,211.03477540917845,218.37089618613513,STR
24,269.1346993980332,268.28099773056937,NOR
25,281.7625002666667,,NOR
