Minisector,SAI,ALB,Fastest
0,287.68332745295237,284.36587170955266,SAI
1,164.10221203665273,159.20976856635716,SAI
2,176.99879565575594,164.8099690549259,SAI
3,253.50535279490413,241.9745078471477,SAI
4,281.8154985606096,282.96632997640836,ALB
5,247.25888754867722,224.64877638177094,SAI
6,227.01457553782404,212.48655065756643,SAI
7,155.84563878098334,150.19086264573144,SAI
8,233.47304221787886,228.58669729706668,SAI
9,280.50859950217824,280.2858836339431,SAI
10,297.5777231494737,301.0653924517962,ALB
11,305.4610937066667,310.1475206715627,ALB
12,309.8759905311943,313.8267285175709,ALB
13,308.08779382974797,304.1117595619652,SAI
14,132.01654120345805,123.56637047448923,SAI
15,119.58534089762853,114.31728150799971,SAI
16,97.6234500858492,94.67594581089631,SAI
17,234.38973711445888,234.5049342866745,ALB
18,284.83169377121897,288.6518591940318,ALB
19,302.7515185802554,307.2741645090909,ALB
20,312.1134137236424,316.59553882185463,ALB
21,316.15473258382156,320.2036576651852,ALB
22,116.89056903823256,120.94038716952522,ALB
23,201.53788571146384,196.8314264162265,SAI
24,265.19743611791796,269.25984633018186,ALB
25,281.4,,SAI
