Minisector,BOT,VET,Fastest
0,234.62629642045394,237.7417690810333,VET
1,290.09288425974023,286.99526535757576,BOT
2,306.83270842666667,299.90884353741495,BOT
3,311.7688392990476,305.6155410847494,BOT
4,280.42322201405693,289.82283571414797,VET
5,169.53386943716933,170.2795842140407,VET
6,263.80892888253965,264.1051455366588,VET
7,283.88384040865964,284.34770842666666,VET
8,220.85292561269839,226.53546289370715,VET
9,219.5036714754642,217.858436555665,BOT
10,192.9764605922078,194.65980838058928,VET
11,225.4221160661309,221.67128007619047,BOT
12,207.0972731371483,212.15456359800763,VET
13,219.86192510213465,224.03356630117554,VET
14,220.9494152382958,224.77006190617283,VET
15,182.0150555204482,186.5176235204261,VET
16,250.34541344041165,244.935000064,BOT
17,294.3640151757576,292.2862891291641,BOT
18,314.17658460208054,310.286333312,BOT
19,303.14316670933334,311.04444254768345,VET
20,130.14873208619736,131.10802032757044,VET
21,160.41370358116046,172.23557654521306,VET
22,156.80638740684802,147.9832049663975,BOT
23,205.86188103465102,224.104442738509,VET
24,147.63034098692376,142.39095495317105,BOT
25,,176.53229333333334,VET
