Minisector,BOT,ALO,Fastest
0,271.9114151786667,275.1022994048707,ALO
1,109.69588035089699,114.45186603997855,ALO
2,163.67837566164874,148.6242717217094,BOT
3,191.66802364775708,204.77714040543367,ALO
4,154.25043157197885,158.94333185907072,ALO
5,238.77259372457812,237.10043335928222,BOT
6,188.22577056841612,222.0935771539394,ALO
7,129.6805756825918,128.81035422373685,BOT
8,242.31340758036632,224.12799862615876,BOT
9,281.20831766552385,274.3071709859521,BOT
10,282.2022595453968,281.58135682675135,BOT
11,140.37754200555415,142.2150380990783,ALO
12,221.37538042828282,208.71222693506496,BOT
13,266.05478742290023,262.0258548619549,BOT
14,249.5312241136508,258.7427513742222,ALO
15,95.55094505204166,99.58452859855453,ALO
16,222.36168665044207,206.03860413018631,BOT
17,274.20086626939906,268.0463601231746,BOT
18,303.557250752,297.1374487229132,BOT
19,320.4664051646984,314.6556207465677,BOT
20,329.85601815836895,323.6587410461538,BOT
21,287.94598609428573,289.90224029433585,ALO
22,137.7432622274511,140.5199189779221,ALO
23,234.50606310398751,229.16987351198878,BOT
24,284.58124435555555,279.5533934467879,BOT
25,298.3312496,,BOT
