Minisector,HAM,SAI,Fastest
0,270.8182254730159,270.69985987465424,HAM
1,292.7723584059321,290.5658964526611,HAM
2,301.8255024453637,298.8521382163261,HAM
3,134.6069783126121,123.2010467658935,HAM
4,197.41291843280325,191.57715745185183,HAM
5,255.58313508571428,254.5928678235818,HAM
6,148.48861282529282,139.1792252936531,HAM
7,210.33792775923808,202.77408240437936,HAM
8,260.36854956658766,257.1785705650794,HAM
9,279.21204590018556,278.85581157427913,HAM
10,239.50102949869074,231.83392788210537,HAM
11,191.4472761391232,177.70378636413727,HAM
12,190.02778433265973,191.97534571168066,SAI
13,152.17819967219327,147.26549301445584,HAM
14,183.88207820125902,175.98634830131368,HAM
15,169.20914475924343,162.78287560258667,HAM
16,217.91182566893292,216.28885426481452,HAM
17,236.1103123382246,230.4461092789843,HAM
18,240.14561855303782,236.87563681135626,HAM
19,252.3624993015873,239.5113662060606,HAM
20,147.79175449851698,139.16747385530928,HAM
21,141.41706228268018,133.54093156078056,HAM
22,172.88393441254547,171.67499896888887,HAM
23,157.4768307434736,146.55897464456476,HAM
24,230.0600529183158,229.03100030476193,HAM
