Minisector,ANT,HAD,Fastest
0,323.21295493171715,322.7088282828283,ANT
1,332.867932793939,334.69601850158733,HAD
2,336.6802755833584,335.95399117754386,ANT
3,197.91623455456082,195.12926659337867,ANT
4,134.2350507404907,123.57399804165456,ANT
5,268.45335849224625,265.4012436232748,ANT
6,302.37760958780956,302.6442361111111,HAD
7,317.08018353499267,317.53596154943153,HAD
8,261.54390082336505,263.1995946836711,HAD
9,151.94075581401168,146.37743360025837,ANT
10,224.32729944130634,222.06100976980534,ANT
11,230.96727837622106,229.5785342503473,ANT
12,214.543810419343,204.33148021034225,ANT
13,274.9729260395257,273.6535745113668,ANT
14,307.95309049379813,310.1215198388439,HAD
15,319.23206770962963,324.3353436734157,HAD
16,267.7783075917949,254.1891830830769,ANT
17,221.92929855855883,224.29881325029433,HAD
18,280.95307578022243,282.88193650771564,HAD
19,312.29301443973856,313.18275066488997,HAD
20,325.196538360929,324.78921568627453,ANT
21,313.53438327466665,291.32945752232604,ANT
22,216.67819528051015,212.7052052896359,ANT
23,269.6100960928468,269.71726554123364,HAD
24,305.04901493066666,307.68543049862427,HAD
25,315.73571474285717,,ANT
