Minisector,RIC,OCO,Fastest
0,273.6000373688889,270.7267830207035,RIC
1,298.2659493252873,304.29943250735926,OCO
2,311.1314359399495,322.1000784271429,OCO
3,318.82119429238094,334.8036582452572,OCO
4,323.4726191537415,344.8708332952381,OCO
5,325.76244805333334,345.4973625951649,OCO
6,198.6479463061771,217.2759131321654,OCO
7,102.68666083712601,99.51305963049298,RIC
8,187.53027784682033,179.74585323878097,RIC
9,263.53972019292945,253.03356523047617,RIC
10,291.06604431939394,291.1772485755307,OCO
11,157.58975622675442,152.1137551192381,RIC
12,94.03969025692119,94.41886803231404,OCO
13,115.36747173190398,112.39197215222502,RIC
14,216.7554008927222,209.28267026262628,RIC
15,187.92355277493238,182.9448275292612,RIC
16,219.31641094327574,222.99219640242424,OCO
17,173.1077493756916,165.84399811097006,RIC
18,232.63319646943842,230.47045098559732,RIC
19,276.92845564,274.19367399822835,RIC
20,241.09512679183783,228.7916581988304,RIC
21,142.05323892399932,141.60733800465314,RIC
22,92.58423525138754,93.44747958125252,OCO
23,121.71890986485002,119.44143640870747,RIC
24,223.8334670238384,220.81144393316626,RIC
