Minisector,OCO,HAR,Fastest
0,284.28419855875853,285.28506646293266,HAR
1,242.36459073361263,246.50382802118708,HAR
2,267.6863896332362,268.74771774814815,HAR
3,277.6388901925926,282.94511942019665,HAR
4,128.12313930801614,125.39269691186894,OCO
5,212.648322469696,214.45699435002754,HAR
6,268.55980114115914,266.34476630711777,OCO
7,290.7140348856721,288.83760293882546,OCO
8,300.6281249333333,298.0821079721159,OCO
9,305.32232447381875,304.12521012284145,OCO
10,295.7089266934931,275.46493818960954,OCO
11,105.12265594032634,101.04085042708064,OCO
12,204.83468668116657,227.015107278975,HAR
13,272.6195404038483,271.8031469743724,OCO
14,278.4385944497187,260.6836058694256,OCO
15,131.70119988649625,132.00545397404017,HAR
16,202.73575807373336,210.933813145072,HAR
17,255.997346190931,259.9252717890485,HAR
18,252.83482202666664,251.6877360620049,OCO
19,240.21452777252293,247.5743617478371,HAR
20,145.4593849015126,138.98008532731532,OCO
21,188.24124987991382,203.64884923427638,HAR
22,171.52694742294076,166.10137611562592,OCO
23,182.89615913163695,190.51707081407883,HAR
24,245.9964541740676,254.6199795824683,HAR
25,272.2499968,,OCO
