Minisector,LEC,SAI,Fastest
0,316.6199274931677,316.29311873469544,LEC
1,324.28586132491654,323.9634056347826,LEC
2,327.59473043953636,327.33134923174606,LEC
3,202.0943681114236,207.49878666008064,SAI
4,116.84228403346755,113.9108594738495,LEC
5,262.9141406853861,260.95406741105575,LEC
6,297.4846160932362,296.89105697315927,LEC
7,314.25652718493967,312.9461228363978,LEC
8,287.7089802463311,291.0907475294761,SAI
9,140.6321365865624,140.0824637863653,LEC
10,219.2880151358097,219.13838448484847,LEC
11,210.6598103489434,209.42880730768098,LEC
12,192.40156220446946,193.9028568554648,SAI
13,264.62647991936643,263.3764104522046,LEC
14,301.32839006873706,299.54097204444446,LEC
15,318.70975440629076,317.2626812289855,LEC
16,258.9331778068751,262.50650716734697,SAI
17,198.3632415304536,193.47883104397928,LEC
18,267.8823243504754,265.04152414589123,LEC
19,302.42246344347825,299.7137145695348,LEC
20,317.9900999978109,315.7202896695652,LEC
21,304.8368069333333,309.5267553985731,SAI
22,199.95769989564192,201.87962933333336,SAI
23,258.75401157530865,260.42356035389787,SAI
24,299.8110618557082,297.58190439619045,LEC
