Minisector,ALB,NOR,Fastest
0,251.64184773118714,254.7714910054136,NOR
1,281.04874976,281.98999984,NOR
2,170.65871551190784,162.56129088027973,ALB
3,169.01328753909024,172.96162038112027,NOR
4,259.37009342466865,262.0467260626474,NOR
5,271.02642048484853,269.6742700051948,ALB
6,221.31280880987654,221.55049703870034,NOR
7,206.47068453333333,199.09310377931035,ALB
8,159.710421171451,160.02421219394708,NOR
9,223.33076885567763,229.45152966203526,NOR
10,271.72925449555663,277.16626930793655,NOR
11,125.74000136535184,124.78243351247902,ALB
12,219.99223967266315,224.79544788886795,NOR
13,273.93698688765613,274.66567385396826,NOR
14,291.849574770068,289.60874976,ALB
15,293.15500000000003,295.1575396063492,NOR
16,222.64221794426808,207.1883977142857,ALB
17,137.02163782059066,138.51918638139534,NOR
18,141.63583151716816,142.34451684268947,NOR
19,124.44586404265984,124.78340436168101,NOR
20,230.8581732923077,231.99081496842692,NOR
21,258.6223086641822,260.99375645655664,NOR
22,230.81385096202584,229.11513721552717,ALB
23,215.59027299837126,211.2776499500779,ALB
24,147.88361253578114,145.1320463068382,ALB
