Minisector,PER,LEC,Fastest
0,295.64313725490194,291.9543391955506,PER
1,302.29222293333333,303.3369426488889,LEC
2,164.7033048275862,162.21819210666666,PER
3,225.15619273623096,220.32443471635227,PER
4,279.8638603086421,273.888971482353,PER
5,300.4488888888889,295.3427088,PER
6,308.2997396,304.5303637405501,PER
7,174.47205899018198,175.67545713439154,LEC
8,128.76753679677657,125.07060391597575,PER
9,253.02192982456143,247.05642427669173,PER
10,287.75638876444447,283.24557346666666,PER
11,297.4565104,298.70755153333334,LEC
12,146.667297810101,147.00872085238095,LEC
13,192.7251637284438,186.16406533333335,PER
14,261.14444444444445,257.45625096296294,PER
15,195.35305328179004,193.24251256926578,PER
16,213.42291641212122,216.54983201088436,LEC
17,210.06704581818184,209.25939973095393,PER
18,238.73144941029673,240.50104298666665,LEC
19,276.12349425658266,274.09335988333333,PER
20,292.16562493333333,292.32220861798055,LEC
21,254.54023047049154,255.20328712982456,LEC
22,215.4435611151515,221.61086035062453,LEC
23,196.16919216254612,199.6505451130435,LEC
24,265.6716087596869,263.3475501176471,PER
25,285.15000000000003,282.2835827738911,PER
