Minisector,VER,BEA,Fastest
0,284.2310759225617,284.83803100952383,BEA
1,300.2619704861111,300.185423079873,VER
2,244.60059307840604,235.77218901542852,VER
3,117.82888753982279,113.79736818129975,VER
4,142.85726868971608,137.57681233096,VER
5,251.43303780855618,253.78959464364576,BEA
6,260.3512358675355,260.7291372032459,BEA
7,126.54502758647736,125.0001238272588,VER
8,246.97560665504693,247.3374206661285,BEA
9,265.3576136862338,252.46984007794873,VER
10,212.2091563306066,198.84513718210053,VER
11,143.07303187339778,137.84442651950923,VER
12,209.6993830214274,208.53232747284503,VER
13,263.5522193820106,265.70181405138663,BEA
14,117.2198056955963,118.06818545858324,BEA
15,195.70000045052174,196.29293930197895,BEA
16,265.7415200074225,261.041697392776,VER
17,291.63822285033444,291.9322363348571,BEA
18,304.8374242754543,305.118278985865,BEA
19,311.77823137959183,312.4403507649123,BEA
20,312.98130102728675,313.0379358703585,BEA
21,176.91285903834074,170.1945061019396,VER
22,148.2173184133001,153.79646872610118,BEA
23,206.41903354326612,205.9518969179838,VER
24,240.28468650487108,243.33588286820927,BEA
