Minisector,PER,OCO,Fastest
0,283.4921674479214,282.7934839254701,PER
1,147.6112854934123,153.5106332066609,OCO
2,146.8052909965715,143.23273450842743,PER
3,223.58373688474202,224.1787604212011,OCO
4,283.71843692022264,283.21963955336787,PER
5,287.86921784470275,287.91436084293275,OCO
6,142.22419462419552,135.0384251394276,PER
7,145.9897813969263,132.63789886142132,PER
8,142.87998976372924,138.84031262350481,PER
9,192.60207945231934,185.08783120381892,PER
10,131.82279371833656,128.35285618839316,PER
11,122.5261919797154,120.2998250484553,PER
12,161.47830278744289,160.34329518365683,PER
13,266.13372042045586,264.5291987637607,PER
14,290.9722796143251,286.32869730403496,PER
15,152.68803513729424,143.9929326381945,PER
16,204.13276553642908,201.6791711211159,PER
17,174.53605642820858,163.91802529550264,PER
18,271.09236497212584,269.4425765558793,PER
19,294.1481150793651,294.9542965367965,OCO
20,309.9063708043625,311.22973316663786,OCO
21,316.92801599061244,319.4050906916437,OCO
22,320.55095030643275,322.9437252021164,OCO
23,323.19760418666664,324.28694813972425,OCO
24,320.64180672268907,316.83875,PER
25,316.02999936,313.3166670222222,PER
