Minisector,LAW,ANT,Fastest
0,269.11819042432745,270.11808700739044,ANT
1,287.35280225269844,288.2040345099112,ANT
2,293.7854809590476,295.68827050047616,ANT
3,135.45859652272642,124.95537167786398,LAW
4,193.99449039269075,190.87895281773316,LAW
5,254.4285103784874,257.1045277586157,ANT
6,142.59949563460006,146.08076656186938,ANT
7,203.33804173063328,201.38214019417256,LAW
8,257.07293730538163,255.25841576114286,LAW
9,279.9237023885714,279.6544335759626,LAW
10,239.9116735380269,236.47911455560697,LAW
11,182.56931406087583,183.49946373790775,ANT
12,190.15235833037679,189.9055423360593,LAW
13,140.61701180195374,142.47023906835977,ANT
14,172.23751406763904,173.53155780673947,ANT
15,164.42206641834215,160.371306964071,LAW
16,220.7618514280635,213.70204249293434,LAW
17,234.77108871688313,238.45256080824728,ANT
18,241.04632489660517,239.53796985134028,LAW
19,247.70068984533333,239.80702107831493,LAW
20,141.27531873359143,144.51705369238562,ANT
21,133.90634608823177,136.6418582115852,ANT
22,165.16045600795383,163.82885724860063,LAW
23,151.86342685591396,151.49364332563331,LAW
24,226.6296434437287,225.85755762483612,LAW
25,255.0499968,256.0634923260986,ANT
