Minisector,PER,HAM,Fastest
0,283.4921674479214,278.3003276530027,PER
1,147.6112854934123,153.40514383382182,HAM
2,146.8052909965715,143.9576728886516,PER
3,223.58373688474202,224.47766894100582,HAM
4,283.71843692022264,278.3307280295731,PER
5,287.86921784470275,277.652794531174,PER
6,142.22419462419552,140.18624247954818,PER
7,145.9897813969263,142.48602093958146,PER
8,142.87998976372924,136.3795793427761,PER
9,192.60207945231934,192.88142018224147,HAM
10,131.82279371833656,126.48224129819968,PER
11,122.5261919797154,117.91814722184509,PER
12,161.47830278744289,172.27220917099325,HAM
13,266.13372042045586,264.4480412312534,PER
14,290.9722796143251,282.9460886817738,PER
15,152.68803513729424,147.62198755477812,PER
16,204.13276553642908,200.12184267055702,PER
17,174.53605642820858,176.39932352798186,HAM
18,271.09236497212584,268.44560739483717,PER
19,294.1481150793651,289.231009334026,PER
20,309.9063708043625,300.8903206836017,PER
21,316.92801599061244,308.94150971273984,PER
22,320.55095030643275,312.0717171878788,PER
23,323.19760418666664,314.0711540677879,PER
24,320.64180672268907,309.7813824581818,PER
25,316.02999936,,PER
