Minisector,PER,LEC,Fastest
0,288.802869557477,287.14641162220744,PER
1,297.0419124705882,299.06067442756085,LEC
2,174.62730897537304,170.29278265238096,PER
3,220.67725557460315,216.3780228119779,PER
4,272.92811959680756,266.46944422312924,PER
5,292.4114357493858,286.0276316631579,PER
6,299.0104636471178,292.8729364421,PER
7,185.35210381845403,192.8547425360544,LEC
8,124.22095492691845,119.23103204092345,PER
9,247.01345762551972,244.5119613315193,PER
10,282.17910367919796,278.00921202821104,PER
11,291.59517518596493,291.671990637037,LEC
12,154.24821589479743,153.28548160540942,PER
13,189.7398079624156,185.9105863782313,PER
14,254.81599009477404,254.528596298064,PER
15,211.47566186835022,207.70437724889248,PER
16,219.8474059946093,214.08423074141243,PER
17,217.35247658057142,220.8106137490417,LEC
18,241.34413440014217,241.53211575411254,LEC
19,273.29979728423933,272.1822286016052,PER
20,289.01754374736845,289.08128718005315,LEC
21,269.16884989111907,267.65760655535365,PER
22,232.0450839983437,228.3211470291906,PER
23,203.42837714188434,198.5169219809524,PER
24,261.19132731212886,259.8196901774454,PER
25,,278.16666879999997,LEC
