Minisector,VET,ERI,Fastest
0,265.98218536769076,258.2372324917872,VET
1,135.91671917497592,134.12813848323464,VET
2,264.66343350217363,262.2135847129252,VET
3,305.1273004746085,299.105166848,VET
4,303.70749994666664,296.2716665721905,VET
5,309.7817708,301.88766034871793,VET
6,313.84751158306875,306.47210147246375,VET
7,315.03478265507243,308.0958333128205,VET
8,213.4068847814672,205.19400403478824,VET
9,201.9285391814672,200.03810863574571,VET
10,190.3242525262014,187.63427097042435,VET
11,164.51781062788112,161.69673278146035,VET
12,253.94535719619046,249.6735131965294,VET
13,280.07109350174346,279.55293202962963,VET
14,283.9392857494505,279.00955723232806,VET
15,282.494443784127,275.05365830204084,VET
16,187.79441368273712,186.66282335217164,VET
17,197.30267045559845,192.61378581340674,VET
18,244.65635755548746,242.5072148546851,VET
19,291.1169287619048,285.7689145201196,VET
20,309.82458573760186,303.96645205942855,VET
21,316.17088000764335,309.4486111111111,VET
22,316.3083580888889,308.91100002133334,VET
23,271.65444486097437,244.46747978530468,VET
24,117.86588611666667,116.92104308228336,VET
25,230.93333333333334,,VET
