Minisector,RAI,HUL,Fastest
0,279.96943692917915,273.87212813383303,RAI
1,237.3685890880026,229.895231916695,RAI
2,116.10882243382306,114.8468941966813,RAI
3,193.09854381152147,188.41419019540933,RAI
4,180.425647554406,177.17815528088366,RAI
5,217.34015440007988,218.5755453855845,HUL
6,281.8195577751095,272.8006707815497,RAI
7,299.599103790593,289.6238412539931,RAI
8,184.98431968929765,175.53184882003205,RAI
9,130.4734500989129,132.15809191149205,HUL
10,132.2724928877548,132.28300606626132,HUL
11,191.36019933188226,188.61447066448036,RAI
12,224.2261421087629,215.71998070677574,RAI
13,130.56841971667905,132.11905641550356,HUL
14,156.00531255668483,152.79450771919232,RAI
15,122.00103244792527,121.82013561950494,RAI
16,256.8982223458857,252.36973722287274,RAI
17,146.07677050392246,141.99477981852877,RAI
18,200.35156632063547,200.08919321901521,RAI
19,136.94685954284728,134.26216570366424,RAI
20,148.7638666087017,148.700737627362,RAI
21,126.45335384760816,127.05896255707333,HUL
22,142.28052678359066,140.71278184945976,RAI
23,217.44429604737337,214.64750069780806,RAI
24,230.47488323701455,229.77884784268394,RAI
25,263.04166933333335,,RAI
