Minisector,BEA,PIA,Fastest
0,273.5196300026029,276.0259317754386,PIA
1,300.60378213046386,301.20754797603564,PIA
2,312.46034258924624,314.99028614132254,PIA
3,318.66212133384613,321.2680803428571,PIA
4,320.10336739434445,323.04090909090905,PIA
5,322.1386458266667,325.5904761904762,PIA
6,205.36284734529497,219.35955008689342,PIA
7,106.68165921309928,107.84300598901953,PIA
8,193.55593358810208,182.52465619516335,BEA
9,262.670774064598,259.5524446042989,BEA
10,287.4838712711111,290.68583118714287,PIA
11,168.0945621589189,145.35366626709938,BEA
12,98.07523228437019,94.55580531948405,BEA
13,116.37029951181958,120.55036526018782,PIA
14,222.19844767954427,222.71246356651932,PIA
15,190.28690071762088,194.486001370224,PIA
16,225.56445297406128,222.72782415736046,BEA
17,183.17365103486296,182.7796063431111,BEA
18,234.65746453333335,244.36281681712464,PIA
19,276.6358528143915,281.2360886113165,PIA
20,248.56985757458838,245.39260814392344,BEA
21,148.3492762929138,139.11006346831738,BEA
22,98.18728651128947,99.77669448523149,PIA
23,127.02384759088949,124.97445450656028,BEA
24,225.56378484342858,230.33437589382663,PIA
