Minisector,VER,PIA,Fastest
0,301.86485672619045,306.82790415157893,PIA
1,203.68587468268052,202.38621319717421,VER
2,145.26661424664024,146.16713702538397,PIA
3,218.92640176895966,225.02483744415585,PIA
4,159.2241354084131,169.74129250661707,PIA
5,169.88545945400887,184.75542545883596,PIA
6,248.32291259746134,252.80336591336345,PIA
7,274.5240719611578,278.08694067221154,PIA
8,282.838051119978,287.6247796001411,PIA
9,247.9310658420168,255.32314972825645,PIA
10,239.37315531466223,234.69154256699417,VER
11,227.0918782256854,236.31738694209525,PIA
12,202.33964870451265,197.72000278479788,VER
13,134.1391453158645,131.4716307074533,VER
14,137.01809818584647,137.94550059837957,PIA
15,179.9981158142119,172.06649278538353,VER
16,244.8184874311111,246.1549465748687,PIA
17,238.72222618412698,243.25556197417177,PIA
18,118.01057768635366,115.91444538541265,VER
19,195.49586910075763,197.16452986809819,PIA
20,195.914558875916,206.49178074048308,PIA
21,234.0852595128553,234.6361764144773,PIA
22,261.76918944679005,263.52802794280336,PIA
23,281.3177949991342,285.28957318633053,PIA
24,295.0397960043862,299.4586677349572,PIA
25,,304.97500032,PIA
