Minisector,NOR,ALO,Fastest
0,296.0907203552655,288.5577012143693,NOR
1,302.8024150974387,295.40590984515154,NOR
2,150.91271980130153,167.8545904572699,ALO
3,221.03627418548953,222.12136367337536,ALO
4,278.5010917121195,269.6858661250269,NOR
5,303.2960168205128,291.2371333742857,NOR
6,316.3901255927438,298.95644094270756,NOR
7,161.5524249513525,175.4300308320635,ALO
8,127.61890542730572,119.68073892306202,NOR
9,250.681250840859,244.56293526240557,NOR
10,292.1911960711111,282.4559133074084,NOR
11,307.77633907886667,295.19665766762864,NOR
12,143.2041850130657,164.77806838603175,ALO
13,188.2321623509435,174.2573761414535,NOR
14,255.8284328056003,252.0277809971795,NOR
15,198.72107680048643,210.348277344208,ALO
16,212.600903829842,209.5773865,NOR
17,209.40283165897148,209.63438217575032,ALO
18,243.09334887822223,235.65270122933333,NOR
19,277.7404170074074,271.9144672377104,NOR
20,293.45226915495795,292.5774203191534,NOR
21,264.3641535554145,271.8534533688889,ALO
22,221.98069094488835,231.17701377018184,ALO
23,196.14862242112667,193.12136272911684,NOR
24,263.7186105765935,256.3932524464762,NOR
25,285.98000128,278.7333328,NOR
