Minisector,LEC,STR,Fastest
0,268.9070454868853,277.4108591586671,STR
1,289.16774414337664,307.09037680761907,STR
2,296.3364753964912,301.3835380027018,STR
3,125.85258229179027,118.21921359733939,LEC
4,190.71231797974608,204.00464736388184,STR
5,248.21810988752955,256.047876655469,STR
6,131.10397446765307,130.02270219588166,LEC
7,197.86233197806635,201.74925028799422,STR
8,255.44780830465947,254.7277870408653,LEC
9,279.788221280393,274.88973246535943,LEC
10,232.12274891123812,227.95791396363637,LEC
11,170.74845766908362,171.90559906713196,STR
12,184.8329559866103,188.39900266552084,STR
13,146.38435623284934,138.71007643421953,LEC
14,172.01696086317875,172.01988671406306,STR
15,156.12891467297297,157.30590803310344,STR
16,215.80821684619607,214.80895478294468,LEC
17,236.096440485005,230.49992571601732,LEC
18,236.78012234276508,240.4395122265159,STR
19,237.4691344352639,217.8399532336232,LEC
20,146.1138436345437,146.70562891209903,STR
21,127.94576517503532,129.04474319980463,STR
22,165.07540225908068,163.44901033824917,LEC
23,148.26919244224314,148.02413273590753,LEC
24,228.50472819120182,226.1145920788406,LEC
