Minisector,HAM,ZHO,Fastest
0,302.53079301065713,285.41167114848486,HAM
1,317.3267264186909,294.44905525472063,HAM
2,325.61163201666665,298.34288356923076,HAM
3,324.89805194805194,294.8105368737866,HAM
4,172.83554283342528,166.68033662634832,HAM
5,212.49898530714978,199.36444111596248,HAM
6,239.87015366875062,225.01387147470408,HAM
7,264.78811708883114,256.756945487756,HAM
8,245.96807625055416,249.15352945973146,ZHO
9,160.70590884705882,159.34255703285714,HAM
10,225.4144917600058,224.08448190049492,HAM
11,127.53918324297747,128.66082126915757,ZHO
12,228.46854765874514,223.57372023458228,HAM
13,179.73307084952378,178.166528935602,HAM
14,215.62397917124426,210.0301774191544,HAM
15,248.99439180654244,233.91114363705628,HAM
16,265.1992866989689,256.20491931605795,HAM
17,285.6380016888889,279.19934632082163,HAM
18,151.7923155745355,154.22526252582313,ZHO
19,168.15546318257253,159.2263062852381,HAM
20,139.35467191735586,141.49195416124445,ZHO
21,227.79852463007214,223.85562566714086,HAM
22,260.9515335619048,253.2503471157895,HAM
23,249.8939166,237.5494640369524,HAM
24,271.9638568393746,266.1584074980263,HAM
25,282.2833333333333,278.3,HAM
