Minisector,HAM,NOR,Fastest
0,265.91659186668693,270.7930380421602,NOR
1,286.2019895750549,290.7049072998068,NOR
2,273.840884352,259.9355391075481,HAM
3,156.70559609881138,148.75727686367867,HAM
4,190.41592393484527,183.695728915092,HAM
5,173.5457419670366,171.8846377115076,HAM
6,164.14458277812815,159.61707642967158,HAM
7,186.70641059918367,185.23637159045572,HAM
8,238.45875419872237,234.88266380360403,HAM
9,220.68994167816712,218.08943849473093,HAM
10,143.86362031707696,136.96610711759834,HAM
11,221.89487713234666,209.0412430094589,HAM
12,107.05022953163403,102.55952791295182,HAM
13,214.78751030227272,210.58072167331218,HAM
14,263.44992621670457,263.1734536315617,HAM
15,271.82132472573187,267.84150622739395,HAM
16,170.1455945727974,166.9887268528762,HAM
17,157.33457505861523,153.47978455197082,HAM
18,250.60575250668896,252.0779726587379,NOR
19,275.27112630273194,279.78062091248484,NOR
20,290.205843733686,291.1161618285714,NOR
21,278.25555259800234,265.45675764654635,HAM
22,233.45054493563302,220.68082392093882,HAM
23,99.32899661439481,100.56995813996187,NOR
24,220.55253066777072,210.63915229213438,HAM
25,,254.5714304,NOR
