Minisector,SAI,OCO,Fastest
0,316.29311873469544,319.8594200115942,OCO
1,323.9634056347826,330.42916673939396,OCO
2,327.33134923174606,329.2113636363636,OCO
3,207.49878666008064,199.13898224943637,SAI
4,113.9108594738495,115.88978066158964,OCO
5,260.95406741105575,262.37175841975306,OCO
6,296.89105697315927,299.99497405577495,OCO
7,312.9461228363978,315.0286232115942,OCO
8,291.0907475294761,274.19345001306544,SAI
9,140.0824637863653,138.52487225464284,SAI
10,219.13838448484847,215.5992642917376,SAI
11,209.42880730768098,207.08094322335552,SAI
12,193.9028568554648,185.1468944970591,SAI
13,263.3764104522046,264.93803891491484,OCO
14,299.54097204444446,303.9381941333333,OCO
15,317.2626812289855,319.81988640000003,OCO
16,262.50650716734697,257.7187730316213,SAI
17,193.47883104397928,198.9458986337733,OCO
18,265.04152414589123,266.32756530434835,OCO
19,299.7137145695348,306.5139223579679,OCO
20,315.7202896695652,322.87264486956525,OCO
21,309.5267553985731,309.23279104927536,SAI
22,201.87962933333336,198.2922749984974,SAI
23,260.42356035389787,261.2934517333333,OCO
24,297.58190439619045,301.84045244077055,OCO
