Minisector,NOR,RUS,Fastest
0,323.27377531049916,320.594918602698,NOR
1,326.53958332121215,329.05220159921834,RUS
2,322.36136378181817,330.5951317621531,RUS
3,199.35076321187304,196.4524607050539,NOR
4,115.83246220339517,113.460415869648,NOR
5,267.4828997123643,264.5453748557908,NOR
6,304.47331614634635,300.64271400228574,NOR
7,315.3447464347826,307.79655800579707,NOR
8,277.7711205313269,277.98878317948714,RUS
9,140.35929599394385,138.72569276937898,NOR
10,218.12999090999284,214.78331781180395,NOR
11,207.72612891434224,204.99288984550265,NOR
12,192.57576738245615,188.32605622882946,NOR
13,269.71498555367737,268.3108275692368,NOR
14,307.2625773581781,305.92616778418176,NOR
15,323.2529810591721,322.83931144347827,NOR
16,263.2294110137566,259.13856256234027,NOR
17,198.380324777669,191.50997855559092,NOR
18,272.5965381813051,264.4813814763792,NOR
19,309.30941670273893,306.2284415536232,NOR
20,323.3698862060606,321.59594031613915,NOR
21,303.8848972888889,301.72150190933337,NOR
22,200.45095554202987,198.31028719218378,NOR
23,265.69597040878864,263.53749929876545,NOR
24,305.0250543281404,302.36768279305255,NOR
