Minisector,TSU,VER,Fastest
0,266.9601931368936,270.28655258181817,VER
1,286.0289472,291.65092545185183,VER
2,286.95005274028955,297.4687502814815,VER
3,122.13115604848485,131.48713629437228,VER
4,191.08451324542423,188.78371726922825,TSU
5,247.32956416145126,254.9093253079365,VER
6,138.80640576012325,145.58678099227836,VER
7,195.61404152098766,198.20661188853614,VER
8,254.83808607944454,257.7425929940522,VER
9,276.5589601122807,282.15526321403513,VER
10,220.1305413294999,237.4266055089027,VER
11,175.6132734960362,182.8349801914346,VER
12,185.68545980206548,182.2287749412151,TSU
13,145.8355713319146,152.97030831601512,VER
14,171.81184257939395,173.4903957864079,VER
15,159.6237393165266,162.53609296623375,VER
16,218.37797971017142,212.7556534616551,TSU
17,225.04510942608695,230.961334144,VER
18,232.6190196133052,232.67612503262387,VER
19,230.94420377971014,246.6999784211085,VER
20,141.70249948471601,142.57698320922015,VER
21,134.62166731809523,140.15313984404008,VER
22,167.08077065661064,163.60528255414619,TSU
23,147.92157998769738,147.4061341206349,TSU
24,224.81275959294572,222.01191675269337,TSU
25,,256.7874976,VER
