Minisector,LEC,ALB,Fastest
0,295.8840655353868,305.7092547380755,ALB
1,304.6342263957672,321.72526459732023,ALB
2,297.4296431197884,297.19831534475304,LEC
3,115.48915027844048,105.41442728412036,LEC
4,230.65071724045123,228.36820772808167,LEC
5,269.8171942850506,283.1881122653036,ALB
6,217.8868947031759,207.83808715213067,LEC
7,169.17467147345585,162.20456828492559,LEC
8,204.84270441587952,189.38958299013177,LEC
9,222.1117505523845,202.57360721896538,LEC
10,117.75683213334308,110.4395592810606,LEC
11,235.6302047239898,225.59346696314836,LEC
12,120.21018216868191,117.85441340069752,LEC
13,228.35918829174292,221.74372650993521,LEC
14,276.6785488635118,271.4383304045114,LEC
15,223.17121735446267,206.97048087068904,LEC
16,205.17751295218915,198.50764705350804,LEC
17,259.46097751881905,248.10259584094445,LEC
18,208.18437884634196,197.4953392286474,LEC
19,187.81926435139164,186.7096980211675,LEC
20,273.47341670703736,269.74725975319075,LEC
21,297.4959279932571,295.56898183120666,LEC
22,173.79722414151766,155.5548812620924,LEC
23,216.70313113560266,211.06567324218904,LEC
24,275.5222917831382,271.8421409395776,LEC
