Minisector,RIC,LEC,Fastest
0,289.6467102877193,292.19520773333335,LEC
1,296.6962724491228,304.1992296605042,LEC
2,162.5541105101574,160.73153795860975,RIC
3,216.97847217777777,218.63619314792243,LEC
4,269.96899953548734,277.8665748596003,LEC
5,292.4061401824561,303.80092533333334,LEC
6,300.7044817927171,316.0399508705882,LEC
7,186.3517148992305,185.2984768474623,RIC
8,116.13795285208384,115.83799916490665,RIC
9,246.656688738506,250.1633775749644,LEC
10,282.9389410887218,293.14384283702987,LEC
11,293.5712964740741,311.8888888888889,LEC
12,143.14458253963815,142.74379641536134,RIC
13,186.22051625388704,188.24910697142857,LEC
14,254.68560084172336,258.6479179767187,LEC
15,199.00710221060922,191.27857188571429,RIC
16,215.97702798991625,204.27599540058003,RIC
17,211.36299976533334,204.64951967179485,RIC
18,243.10891254724638,235.34671349197205,RIC
19,276.3964912280702,276.01090125733515,RIC
20,292.7164473263158,297.69537037037037,LEC
21,271.66511984761905,266.5288789798034,RIC
22,225.7104167111111,226.49388967688256,LEC
23,200.6366602237389,201.32665519769708,LEC
24,263.5954363936508,267.0639707411146,LEC
