Minisector,STR,TSU,Fastest
0,294.47306807709094,298.5376438151378,TSU
1,222.01189827675424,211.51208659944376,STR
2,230.43120338189715,229.62388776644883,STR
3,274.71839655251443,275.14723690314344,TSU
4,245.48642710915752,234.87677264218607,STR
5,128.66349141548213,127.77557610813403,STR
6,213.20351249293623,214.21533125592103,TSU
7,262.96838648838093,261.8105256707438,STR
8,247.41072933791247,240.63211947130435,STR
9,241.4027669854384,242.417743584255,TSU
10,275.7732094681905,277.3821199033553,TSU
11,291.86807680961675,295.2566402208139,TSU
12,301.5787834055053,304.55426113246756,TSU
13,305.37267205182184,307.69375,TSU
14,304.57102960941177,308.280886849227,TSU
15,252.03190895304348,253.40094075827867,TSU
16,246.21091970667004,242.00540993219047,STR
17,282.2678967651371,281.19687888946606,STR
18,294.13693952827543,293.7090705245084,STR
19,153.92274334654655,164.45701463282907,TSU
20,208.93090979109553,210.81649935463847,TSU
21,182.58100323697778,175.8041115967416,STR
22,147.65434966098042,145.93863613748607,STR
23,238.519650364943,244.7037447645599,TSU
24,282.46780210151877,284.84831772517003,TSU
