Minisector,VET,MAG,Fastest
0,237.36518489244176,238.59465882082426,MAG
1,269.5606320022586,270.4172393321265,MAG
2,169.8812591192619,172.42691287104057,MAG
3,151.1508604199885,149.22412285512294,VET
4,256.8154580843867,254.23261256916996,VET
5,259.8366291166532,264.6710940203958,MAG
6,212.5772856879746,216.74386169516387,MAG
7,191.56380618856056,192.44318421927466,MAG
8,151.54458625413307,149.02987173475935,VET
9,206.59775088113847,207.75993508910054,MAG
10,269.70650298110263,266.8871076779586,VET
11,125.63373505907005,118.35939354029055,VET
12,207.608768225926,204.54488160372486,VET
13,266.538121216261,264.2523449265151,VET
14,286.0586765867113,287.01327999999995,MAG
15,295.86497493734333,295.14971210443616,VET
16,244.04122967335283,242.50217850730158,VET
17,132.3845387961784,132.4354124439751,MAG
18,131.74149646423325,130.17336029427153,VET
19,119.79301604747106,117.18273400664401,VET
20,221.93468819766898,220.316559178812,VET
21,253.42387304198,253.3344717923077,VET
22,230.88439959466666,228.6163291454337,VET
23,207.58708180308537,196.1012430483543,VET
24,130.653400035688,132.9837504780221,MAG
25,211.00555946666668,,VET
