Minisector,BOT,VET,Fastest
0,297.6987472935759,302.76145128425827,VET
1,235.22953968367474,240.2282818176661,VET
2,192.52169388979684,196.82873665608466,VET
3,263.411512962224,270.6230989399171,VET
4,228.1855638549856,228.91693529462367,VET
5,114.03215212444061,109.73099645548429,BOT
6,174.3238214423572,178.73185904509967,VET
7,257.05491127619047,257.79508944761903,VET
8,287.6936903375238,283.95721778109504,BOT
9,304.2696447923716,297.4431666773333,BOT
10,304.05036243478264,301.1355902222222,BOT
11,240.79475908862295,236.82987737265745,BOT
12,147.51985571726837,145.77727289108546,BOT
13,253.32884947356897,257.6302934366567,VET
14,290.05270951504036,288.1881045389918,BOT
15,300.371395513983,296.1361112,BOT
16,288.30802384457144,283.6721291860455,BOT
17,246.63180155570237,245.6253170336508,BOT
18,174.52276612816382,172.48088771580942,BOT
19,179.36998755668765,179.61774923767612,VET
20,172.54490567355515,176.99456894095238,VET
21,236.02773238436097,242.49237015199944,VET
22,121.06097097193575,122.6471662780376,VET
23,201.88948392880124,188.80806690867814,BOT
24,281.8097119348741,281.21309550769234,BOT
25,297.5916650666667,,BOT
