Minisector,NOR,ALO,Fastest
0,281.1853184946366,267.4400053472194,NOR
1,122.25863097443283,110.34325601495358,NOR
2,172.84444579232422,158.59749522706076,NOR
3,206.76204734144926,208.10921234047865,ALO
4,162.542821637506,157.54918653858454,NOR
5,239.32266110040814,242.4094826600668,ALO
6,200.32575557705295,205.1530846565244,ALO
7,138.8985575179832,130.8217857703541,NOR
8,238.1022966874435,233.16672845084503,NOR
9,276.1635040857143,275.15248720991895,NOR
10,277.5698978322843,269.03078908717947,NOR
11,151.9477590280418,148.94036681613176,NOR
12,220.64523484196928,226.4456092071958,ALO
13,271.1682503317669,272.57388249058204,ALO
14,257.5627604667669,252.12245196324142,NOR
15,99.75430435037987,101.31791639441994,ALO
16,221.50573271615752,221.61554316458864,ALO
17,269.44711547936697,273.78918602013795,ALO
18,289.59817931114844,291.34192173839233,ALO
19,297.78987474460627,301.806337467584,ALO
20,303.06127447843136,306.63069727346937,ALO
21,279.4106404901587,270.8517857142857,NOR
22,156.8831898329149,154.6922369464524,NOR
23,233.16974604985506,240.080587073745,ALO
24,275.3570774190714,277.13799161315416,ALO
