Minisector,MAG,PER,Fastest
0,233.2628568333287,232.36324766117002,MAG
1,282.03905366353723,287.624910072397,PER
2,295.61452559330615,303.8773769070955,PER
3,299.98874455411254,307.08374992,PER
4,271.57600875428585,271.3220461777778,MAG
5,170.96770004540244,167.7707564326332,MAG
6,261.0806544571429,262.80460266038256,PER
7,276.94280299220776,280.59558986666667,PER
8,215.31842471699008,202.59646890588655,MAG
9,219.77165689632653,224.2363216707483,PER
10,183.08631023865544,177.39363766857142,MAG
11,223.5739531310944,225.4984493442177,PER
12,203.72063070830026,195.70148531756567,MAG
13,210.74339114351397,207.7129347789775,MAG
14,221.71371273969655,222.8964107199896,PER
15,180.81092907936508,176.26896134036124,MAG
16,250.12429025044085,252.27938180266668,PER
17,291.1666662095238,295.5735495183134,PER
18,305.6378966857143,312.70574420571427,PER
19,294.5473943945578,288.3621780522578,MAG
20,127.78354187674444,125.53937486959585,MAG
21,163.61673724531934,155.4751504487985,MAG
22,151.17176997714287,162.92811402437624,PER
23,202.6863177012433,191.65003775353534,MAG
24,145.567199756388,145.32103148444574,MAG
25,184.10832746666668,,MAG
