Minisector,MAG,OCO,Fastest
0,233.2628568333287,230.10547792038759,MAG
1,282.03905366353723,288.00334437732425,OCO
2,295.61452559330615,304.55912685714287,OCO
3,299.98874455411254,310.8763813085826,OCO
4,271.57600875428585,275.1916695111111,OCO
5,170.96770004540244,168.95587219905553,MAG
6,261.0806544571429,264.0620893218775,OCO
7,276.94280299220776,284.1866071203463,OCO
8,215.31842471699008,206.1999592415361,MAG
9,219.77165689632653,222.2059939755102,OCO
10,183.08631023865544,178.77513312651072,MAG
11,223.5739531310944,226.02420504126985,OCO
12,203.72063070830026,198.238656632973,MAG
13,210.74339114351397,209.08106588015173,MAG
14,221.71371273969655,222.3889871564626,OCO
15,180.81092907936508,175.93051535472134,MAG
16,250.12429025044085,250.3278154717973,OCO
17,291.1666662095238,297.19243431025825,OCO
18,305.6378966857143,314.9842520621554,OCO
19,294.5473943945578,296.77302270258116,OCO
20,127.78354187674444,124.43155738416796,MAG
21,163.61673724531934,153.89408275951592,MAG
22,151.17176997714287,156.76923035877752,OCO
23,202.6863177012433,196.8542679230319,MAG
24,145.567199756388,142.09277808473146,MAG
25,184.10832746666668,,MAG
