Minisector,SAI,ERI,Fastest
0,250.91049525652218,250.33742716034314,SAI
1,281.78729130666665,283.2241666666667,ERI
2,169.60284408353172,170.1101319727715,ERI
3,167.06996562367164,161.74160052910054,SAI
4,255.51969378716353,255.01754067623688,SAI
5,266.3696067663534,268.7564935064935,ERI
6,221.5319145904762,228.96414246311554,ERI
7,200.56056595850248,201.74042764406255,ERI
8,159.59124395458193,160.4900456888889,ERI
9,224.30842609894768,211.01570900395114,SAI
10,270.27228257391306,269.4461313523809,SAI
11,128.85882892900483,127.74072702189247,SAI
12,214.0448547779254,215.71882749629629,ERI
13,276.31236387186146,272.71336435738874,SAI
14,296.9805370505074,293.4423470294784,SAI
15,304.60745611228066,300.9342106947368,SAI
16,227.63222744214315,214.50740108233398,SAI
17,130.90929125523036,131.2383571732598,ERI
18,129.42654404742524,131.99846312641114,ERI
19,119.63976476498759,118.31164403307362,SAI
20,217.86720483415078,225.3231142909049,ERI
21,249.45634225564052,256.42078347169206,ERI
22,231.4820124498757,229.1586518974359,SAI
23,211.36924154320656,201.71293489894143,SAI
24,138.97539085367964,137.65112212624584,SAI
