Minisector,PIA,HAM,Fastest
0,300.41137398382165,297.9386930897697,PIA
1,192.41733093576488,191.11028546739345,PIA
2,227.07681268244977,221.35117552346784,PIA
3,273.82440739347317,276.05022408310185,HAM
4,220.75164724496548,230.233514414499,HAM
5,128.65536552505313,126.09223347925712,PIA
6,210.08369725266442,201.72820250464252,PIA
7,251.9702992451359,241.6376527076363,PIA
8,236.83242333768874,227.90083233166902,PIA
9,229.08281520604103,214.74151821527767,PIA
10,274.2539140970716,272.9454093316086,PIA
11,289.52621877402424,291.02193968947523,HAM
12,294.7017717990147,303.34119861665243,HAM
13,297.31436143663285,317.31053087868435,HAM
14,296.9858079094853,320.2577988932796,HAM
15,243.6765255812306,255.58069805194808,HAM
16,236.1182183378232,228.9253464103058,PIA
17,274.47250595238097,281.9499801799073,HAM
18,286.2760287990193,300.782497233832,HAM
19,156.2463433991787,147.66199936993627,PIA
20,213.16653494686673,200.36610140881106,PIA
21,164.17566511799282,171.5264249249819,HAM
22,136.21101003238854,130.41500218673286,PIA
23,241.07732075360636,237.35593434170656,PIA
24,284.75984201263094,294.74140085766953,HAM
25,,314.28928502857144,HAM
