Minisector,HAM,LAW,Fastest
0,311.14873911950195,311.18067162642666,LAW
1,323.03232716719765,326.25119779952496,LAW
2,325.8968942109373,331.31408542955165,LAW
3,293.67420098039366,285.45436323765773,HAM
4,162.40802605282073,144.28785781398997,HAM
5,196.44391864067828,183.1823863556729,HAM
6,216.65361249528522,208.29910065789943,HAM
7,256.34020816227314,258.3430673318032,LAW
8,237.62498051090867,223.74029236324526,HAM
9,159.54858087578134,145.25852853877663,HAM
10,203.91565667130794,196.5406027976443,HAM
11,127.02029509581047,121.05488018735213,HAM
12,233.7320390866633,235.4402482020287,LAW
13,176.0043952201929,169.15387272911872,HAM
14,203.74358401830975,207.06695703756085,LAW
15,219.29088727191854,216.5359209732605,HAM
16,259.80250739938276,256.56859225238895,HAM
17,294.11905511071035,287.2515602093843,HAM
18,149.1816156230762,133.75481973385934,HAM
19,152.95770623353147,151.92256617383296,HAM
20,136.66697518649337,127.7899944770281,HAM
21,223.07934648377707,220.39395755577175,HAM
22,242.6553171972418,247.29255196422884,LAW
23,231.4260543644248,220.02751041702297,HAM
24,282.18476222577203,278.80883675321314,HAM
