Minisector,ALO,STR,Fastest
0,293.0069773371928,292.6477026105862,ALO
1,302.27758514781334,302.425037593985,STR
2,283.61384314805196,302.4420765257143,STR
3,107.39538551425983,102.87395469332944,ALO
4,216.23740304212558,216.9376718674149,STR
5,268.4374090727144,278.7797662768263,STR
6,210.34394730020202,229.9606777541392,STR
7,158.85062010210817,147.16429411695253,ALO
8,205.5177236136073,204.49037801684025,ALO
9,218.23608989460317,218.38433537564956,STR
10,111.44535749974469,116.31414147281822,STR
11,227.06326542849035,224.31659036562942,ALO
12,112.50517530584742,122.11521812131595,STR
13,208.5011818686984,204.45499364867615,ALO
14,280.8530401029864,265.5294275934756,ALO
15,213.47461207958202,220.61168923885714,STR
16,191.95608668020867,183.38357127088045,ALO
17,250.37905886042327,239.37929763789816,ALO
18,189.917186751439,206.90196423689295,STR
19,175.83710832669553,172.7606290463426,ALO
20,261.06107962758097,254.17648823287783,ALO
21,290.4767458613564,284.6836732229123,ALO
22,166.40794381795092,184.59532340171958,STR
23,209.20367448380952,195.11207008560524,ALO
24,275.15442051288267,266.0542814575971,ALO
25,292.8687488,281.61488106666667,ALO
