Minisector,PIA,NOR,Fastest
0,274.8436364509091,307.0153679965201,NOR
1,309.732776768,319.05592113216375,NOR
2,288.17851151809526,307.39666524525967,NOR
3,169.66959391727215,181.3235565533646,NOR
4,218.96967490324784,218.12152348586855,PIA
5,194.9232107008547,199.1310381784586,NOR
6,180.2233568824117,183.27177713063898,NOR
7,213.05157837575757,198.37055407976038,PIA
8,253.0242347755102,248.30026463179487,PIA
9,244.88059532867726,250.61395579296948,NOR
10,177.4831440406668,175.81597402758894,PIA
11,237.47967945922275,230.06161114448977,PIA
12,119.11126843001789,128.1237561767892,NOR
13,243.31871541241367,230.10430877029,PIA
14,274.6749378220408,272.2489646708074,PIA
15,270.3792620948088,269.79893899259264,PIA
16,204.59516821177675,215.07025919802584,NOR
17,193.38278324356006,185.27837466371474,PIA
18,288.5275205250153,280.6584077205567,PIA
19,315.92839277714285,315.4460559258776,PIA
20,310.9653769396825,315.0070000853333,NOR
21,291.67201738018633,297.8565030076768,NOR
22,255.66380598814814,275.2942015726178,NOR
23,124.59802995734826,127.07498012808615,NOR
24,245.49864364062495,230.8427252492867,PIA
25,,286.0171413942857,NOR
