Minisector,VET,GRO,Fastest
0,265.98218536769076,261.9539306359888,VET
1,135.91671917497592,132.65159224241776,VET
2,264.66343350217363,265.1592559644252,GRO
3,305.1273004746085,303.349626080829,VET
4,303.70749994666664,301.0903808914286,VET
5,309.7817708,307.87033343999997,VET
6,313.84751158306875,314.1641369904762,GRO
7,315.03478265507243,316.57135413333333,GRO
8,213.4068847814672,207.50485923809524,VET
9,201.9285391814672,201.36286077593985,VET
10,190.3242525262014,184.86171257566596,VET
11,164.51781062788112,161.08399811146776,VET
12,253.94535719619046,251.65827433142857,VET
13,280.07109350174346,282.1782861644841,GRO
14,283.9392857494505,281.96786753124235,VET
15,282.494443784127,281.0123935836735,VET
16,187.79441368273712,186.35405242215268,VET
17,197.30267045559845,193.749010769869,VET
18,244.65635755548746,238.26641635883257,VET
19,291.1169287619048,285.6433223247863,VET
20,309.82458573760186,307.2984776484953,VET
21,316.17088000764335,314.09319798410934,VET
22,316.3083580888889,314.1442106301236,VET
23,271.65444486097437,260.5005992722496,VET
24,117.86588611666667,112.95277453190167,VET
25,230.93333333333334,230.7666688,VET
