Minisector,SAI,HAD,Fastest
0,307.67213130068563,310.1523725850882,HAD
1,230.4319666092712,222.8023448363285,SAI
2,127.12627109389776,126.55675089440105,SAI
3,231.6664574315052,234.1184942503212,HAD
4,189.88563146230703,182.10627827848037,SAI
5,243.13091486192508,240.51030740083897,SAI
6,224.71455901615977,221.57492931433268,SAI
7,259.66164568832454,253.15277138637853,SAI
8,293.46018696720654,292.69591729339356,SAI
9,204.00785619287092,201.43600829355373,SAI
10,211.33544222491423,203.700552804676,SAI
11,276.3716987408344,275.40704871009524,SAI
12,205.18379283482597,212.8837847582275,HAD
13,253.17137953238202,241.93512946184575,SAI
14,295.3868939194776,292.3245192819899,SAI
15,310.3227722311111,316.2993204640021,HAD
16,312.57654235613273,320.35220753492064,HAD
17,199.64477883192518,204.74233963359984,HAD
18,261.34649172901914,256.5552889921879,SAI
19,296.9882279443223,298.79503027103027,HAD
20,312.2101546128254,316.3175790858925,HAD
21,316.1600396393651,322.4012916506666,HAD
22,146.75839390760706,152.89966603232298,HAD
23,233.18326556916102,224.7232242263526,SAI
24,292.38645804712496,291.99525443480405,SAI
25,,306.81333333333333,HAD
