Minisector,VER,OCO,Fastest
0,304.8286494532416,293.78729078864274,VER
1,327.41584548741025,303.2230901636339,VER
2,282.18698577632654,284.3489846462574,OCO
3,103.16344048345432,110.25843555139274,OCO
4,222.52259457323504,223.30668290799687,OCO
5,287.56810545454545,273.0929154149083,VER
6,197.16336923681786,201.38596448784992,OCO
7,149.11206620968937,158.49366660595027,OCO
8,209.498741369297,200.67030990611377,VER
9,214.2935779655946,206.63940437225912,VER
10,118.37008116500922,114.79722874097666,VER
11,226.75530378122448,225.7866944320264,VER
12,118.23818647191058,116.09212549793855,VER
13,221.05666969414688,219.2439723573696,VER
14,274.4993644565079,278.0544778979894,OCO
15,214.7081883787384,212.39201134838765,VER
16,183.2860090912653,176.3582864637037,VER
17,244.87686840080806,248.1229387663492,OCO
18,196.19615905324676,196.38805862907952,OCO
19,177.56654306348682,167.5918135796548,VER
20,264.08379097987336,262.37217158741703,VER
21,290.25519450666667,292.7689586789219,OCO
22,163.87954679034584,173.43457030798533,OCO
23,210.88318437856358,202.43193949113996,VER
24,271.1427256670928,273.2903850421054,OCO
25,286.54500096,292.79687466666667,OCO
