Minisector,HAM,RUS,Fastest
0,301.0474567139847,290.06673802423495,HAM
1,318.4131612547743,302.14850450486983,HAM
2,330.1155112793651,309.67848058612793,HAM
3,334.3062261433063,308.01317141421345,HAM
4,197.69731310180288,189.38926089116157,HAM
5,220.22299211924076,222.95415666296253,RUS
6,269.1247783324444,269.61781620451126,RUS
7,269.3460508250945,258.7135641324899,HAM
8,193.8216384849554,193.27425363621887,HAM
9,143.51684812994404,140.90703233262977,HAM
10,185.87672378359926,182.7507565143209,HAM
11,265.74797797647057,263.06102940082053,HAM
12,250.23524056098003,243.74218092066158,HAM
13,232.88904695379034,226.55684637866668,HAM
14,273.62071589931526,273.0238004730545,HAM
15,170.25137149285123,166.95945798156805,HAM
16,219.86098359443224,223.1524893977303,RUS
17,236.38711169223706,239.8872301606349,RUS
18,139.66320011026158,133.931724929239,HAM
19,251.60181895675248,246.84805145904704,HAM
20,286.63480937614315,286.0009146883919,HAM
21,241.60729803982684,249.56500928831167,RUS
22,143.73757967772002,141.62800572983318,HAM
23,223.00323163033127,218.98834732082972,HAM
24,273.1912059773738,274.38473094562903,RUS
