Minisector,SAI,PIA,Fastest
0,269.80714370975056,270.5912150537143,PIA
1,233.63890205714287,235.96959595158526,PIA
2,114.71435326252565,113.8797675976784,SAI
3,174.7065206469622,176.74976078845376,PIA
4,191.11854165330857,186.8917391912189,SAI
5,189.96671236258206,192.29378191816093,PIA
6,262.8349246623626,264.5373784040528,PIA
7,285.22623161829586,286.9522337509297,PIA
8,227.97832876039848,220.83602260244285,SAI
9,147.31497463927042,143.9494825711205,SAI
10,113.82335475421937,110.81475840448813,SAI
11,150.42245927261837,148.11728475874483,SAI
12,242.9680479531629,245.41913790539684,PIA
13,153.64892314559867,145.21740643997634,SAI
14,142.75827085882014,142.39625418176533,SAI
15,108.01606065441321,106.52554812039311,SAI
16,225.31565438234162,219.2700657928205,SAI
17,226.50026572348293,225.24855799961907,SAI
18,125.22618836838993,128.8163645647207,PIA
19,241.86680804746453,241.90552402749665,PIA
20,277.2494411236774,275.41047875829895,SAI
21,198.87884624646463,201.36211234930718,PIA
22,140.2167011453086,141.54976575510656,PIA
23,210.48708354641272,210.5106880684643,PIA
24,227.23810942217145,225.38940525405576,SAI
25,254.5714304,255.24642925714286,PIA
